"module_num","module_name","phenotype_num","phenotype_name","former_dsm5_name","key_allostatic_mechanism","primary_proxy","somatic_debt_threshold"
"01","Neurodevelopmental","1","Intellectual Phenotype","Intellectual Disability / Intellectual Developmental Disorder","Reduced synaptic pruning efficiency and/or aberrant neuronal migration during corticogenesis, producing diminished cortico-cortical integration capacity","Oculomotor saccade latency","Breath-hold < 20 s; saccade latency > 300 ms; chronic vagal withdrawal; elevated resting heart rate > 95 bpm"
"01","Neurodevelopmental","2","Global Developmental Delay Phenotype","Global Developmental Delay","Non-specific maturational lag across multiple functional systems (motor, language, social) due to delayed or dysregulated myelination, synaptic overproduction, or subcortical-cortical connectivity failure","Head circumference","Global delay across all domains with loss of previously acquired skills; developmental regression"
"01","Neurodevelopmental","3","Language Ontogeny Delay","Language Disorder","Disrupted phonologic-syntactic network integration within the left perisylvian cortex, involving the superior temporal gyrus, the inferior frontal gyrus, and the arcuate fasciculus connecting them","Oromotor diadochokinesis","Profound language impairment; absent perisylvian activation on fMRI"
"01","Neurodevelopmental","4","Speech Sound Ontogeny","Speech Sound Disorder","Disruption of the phonologic articulation circuit comprised of the left inferior frontal gyrus pars opercularis, ventral premotor cortex, motor cortex, cerebellum, and corticobulbar tract","Rapid syllable repetition","Corticobulbar conduction time severely prolonged; unable to produce intelligible speech"
"01","Neurodevelopmental","5","Fluency Ontogeny — Stuttering Phenotype","Childhood-Onset Fluency Disorder","Basal ganglia-thalamocortical loop dysrhythmia affecting the left putamen and supplementary motor area, producing impaired initiation timing of the speech motor program","Finger-tapping symmetry","Reduced putamen volume; right-lateralized speech activation; finger-tap asymmetry >15%; elevated galvanic skin response >5 microsiemens during speech"
"01","Neurodevelopmental","6","Social Pragmatic Phenotype","Social (Pragmatic) Communication Disorder","Underconnectivity of the fronto-temporo-parietal social cognition network — specifically the right temporoparietal junction, medial prefrontal cortex, and posterior superior temporal sulcus","Eye gaze time during conversation","Absent mPFC activation during mentalizing tasks; profound pragmatic deficits"
"01","Neurodevelopmental","7","Autism Spectrum Phenotype","Autism Spectrum Disorder","Polygenic neurodevelopmental disconnection syndrome characterized by altered excitation/inhibition ratio in cortical microcircuitry, aberrant long-range white matter connectivity, local hyperconnectivity, and striatal enlargement","Pupillary light reflex adaptation","Pupillary adaptation <10%; antisaccade errors >30%; absent acoustic startle habituation"
"01","Neurodevelopmental","8","Attention-Drive Regulation Phenotype","Attention-Deficit/Hyperactivity Disorder","Hypofunction of the catecholaminergic fronto-striatal-cerebellar circuits with reduced dopaminergic and noradrenergic signaling","Reaction time variability on finger-tapping","Theta/beta ratio >4.0; RT variability >80 ms; delay discounting rate >0.05; elevated cortisol"
"01","Neurodevelopmental","9","Specific Learning Phenotype","Specific Learning Disorder","Focal disruption of the cortical networks specialized for specific academic skills — reading (visual word form area), mathematics (intraparietal sulcus), or written expression (Exner area)","Pseudoword repetition","RAN >90 s; pseudoword repetition <70%; number line error >15 marks; absent domain-specific activation on fMRI"
"01","Neurodevelopmental","10","Motor Coordination Phenotype","Developmental Coordination Disorder","Cerebellar-cortical connectivity failure, specifically reduced P-cell output from cerebellar lobules IV-VI and Crus I/II resulting in impaired feedforward motor prediction","Heel-toe tandem gait","Falls off tandem gait line repeatedly; finger-to-nose >5 cm error; <10 cycles pronation-supination"
"01","Neurodevelopmental","11","Stereotypic Movement Phenotype","Stereotypic Movement Disorder","Striatal motor habit-circuit hyperexcitability with underactive indirect pathway producing motor capture","Distraction test","Does not stop with distraction; self-injury present; requires physical protective measures"
"01","Neurodevelopmental","12","Tourette's Phenotype","Tourette's Disorder","Striatal disinhibition characterized by reduced parvalbumin-positive GABAergic interneurons in the caudate and putamen, leading to failed inhibition of unwanted motor and vocal programs","Premonitory urge suppression test","Reduced putamen volume on MRI; urge suppression <5 s; continuous tics during rest"
"01","Neurodevelopmental","13","Persistent (Chronic) Motor or Vocal Tic Phenotype","Persistent (Chronic) Motor or Vocal Tic Disorder","Striatal disinhibition confined to motor or vocal subregion of the putamen without cross-regional spread","Same as Tourette's","Urge suppression <5 s; tics interfere with function; stable topography"
"01","Neurodevelopmental","14","Provisional Tic Phenotype","Provisional Tic Disorder","Transient striatal disinhibition with tics present for less than 1 year, likely representing developmental fluctuation in dopamine-gated motor inhibition","Observation for tic frequency","Tics suppressible >30 s; no functional impairment; resolve within 12 months"
"01","Neurodevelopmental","15","Intellectual Phenotype — Genetic Syndrome Subtype","Intellectual Disability — Genetic Syndrome","Known genetic etiology (e.g., Down syndrome, Fragile X, Rett syndrome) producing characteristic neurodevelopmental alterations with specific somatic stigmata","Dysmorphology examination","Syndrome-specific markers; IQ <40; continuous supervision required"
