"module_num","phenotype_name","protected_criteria","protected_markers","transition_criteria","transition_markers","debt_criteria","debt_markers"
"01","Intellectual Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Breath-hold < 20 s; saccade latency > 300 ms; chronic vagal withdrawal; elevated resting heart rate > 95 bpm"
"01","Global Developmental Delay Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Global delay across all domains with loss of previously acquired skills; developmental regression"
"01","Language Ontogeny Delay","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Profound language impairment; absent perisylvian activation on fMRI"
"01","Speech Sound Ontogeny","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Corticobulbar conduction time severely prolonged; unable to produce intelligible speech"
"01","Fluency Ontogeny — Stuttering Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Reduced putamen volume; right-lateralized speech activation; finger-tap asymmetry >15%; elevated galvanic skin response >5 microsiemens during speech"
"01","Social Pragmatic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Absent mPFC activation during mentalizing tasks; profound pragmatic deficits"
"01","Autism Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Pupillary adaptation <10%; antisaccade errors >30%; absent acoustic startle habituation"
"01","Attention-Drive Regulation Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Theta/beta ratio >4.0; RT variability >80 ms; delay discounting rate >0.05; elevated cortisol"
"01","Specific Learning Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","RAN >90 s; pseudoword repetition <70%; number line error >15 marks; absent domain-specific activation on fMRI"
"01","Motor Coordination Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Falls off tandem gait line repeatedly; finger-to-nose >5 cm error; <10 cycles pronation-supination"
"01","Stereotypic Movement Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Does not stop with distraction; self-injury present; requires physical protective measures"
"01","Tourette's Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Reduced putamen volume on MRI; urge suppression <5 s; continuous tics during rest"
"01","Persistent (Chronic) Motor or Vocal Tic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Urge suppression <5 s; tics interfere with function; stable topography"
"01","Provisional Tic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Tics suppressible >30 s; no functional impairment; resolve within 12 months"
"01","Intellectual Phenotype — Genetic Syndrome Subtype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Syndrome-specific markers; IQ <40; continuous supervision required"
"01","Language Ontogeny — Social Communication Subtype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Minimal verbal output; absent pragmatic understanding; severe social impairment"
"01","ADHD — Inattentive Predominance","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Theta/beta ratio >3.5; digit span forward <5; RT variability >70 ms"
"01","ADHD — Hyperactive-Impulsive Predominance","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Inability to sit still for >2 min; continuous fidgeting; impaired Go/No-Go performance"
"02","Schizotypal Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","P50 ratio >0.7; hippocampal volume <5th percentile for age; absent dexamethasone suppression"
"02","Delusional Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA uptake >1.3 Ki; complete dexamethasone nonsuppression; reduced hippocampal volume"
"02","Brief Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Cortisol >25 mcg/dL; plasma HVA elevated >50% above baseline; abnormal Luria sequences"
"02","Schizophreniform Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA uptake >1.3 Ki; ventricular enlargement >2 SD above mean; progressive cortical volume loss"
"02","Schizophrenia Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Striatal F-DOPA >1.3 Ki; ventricular-brain ratio >0.35; progressive volume loss on serial MRI; absent dexamethasone suppression"
"02","Schizoaffective Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","HVA >1.3 Ki; DST nonsuppression; elevated CSF 5-HIAA; absent nocturnal blood pressure dip"
"02","Substance/Medication-Induced Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Positive toxicology matching symptom type; autonomic instability; elevated creatine kinase"
"02","Psychotic Phenotype Due to Another Medical Condition","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Abnormal EEG (temporal spikes); positive autoimmune antibodies in CSF; endocrine panels outside reference range"
"02","Catatonia Associated With Another Psychotic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","3+ catatonic signs present; elevated CK >1000 U/L; fever; autonomic instability"
"02","Catatonic Phenotype Due to Another Medical Condition","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","CK >1000 U/L; autonomic instability; fever; identifiable organic etiology (ammonia >150; Na <120; Ca >14 mg/dL)"
"02","Unspecified Catatonic Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","3+ catatonic signs requiring emergency intervention; workup in progress"
"02","Other Specified Schizophrenia Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Partial psychotic syndrome; functional decline without full criteria"
"02","Unspecified Schizophrenia Spectrum Phenotype","Mild or absent symptoms; functional independence","Biomarkers within normative range","Moderate symptoms; partial functional impairment","Biomarkers approaching pathological thresholds","Severe symptoms; significant functional impairment","Symptoms present but unable to classify due to insufficient information"
